well_id,coor_x,coor_y
D-274,-45.756259,-67.697926
D-275,-45.756033,-67.694029
D-277,-45.765402,-67.708025
D-279,-45.752448,-67.7148
D-281,-45.752279,-67.711513
D-282,-45.750508,-67.69957
D-283,-45.74885199999999,-67.704847
D-290,-45.76000000000001,-67.685556
D-291,-45.75805600000001,-67.685833
D-292,-45.756667,-67.674167
D-293,-45.758889,-67.665833
D-294,-45.763889,-67.713611
D-47,-45.76362400000001,-67.696762
D-49,-45.763623,-67.69993
D-51,-45.761973,-67.688133
E-100,-45.76198,-67.75631
E-101,-45.759208,-67.751433
E-102,-45.760147,-67.754927
E-105,-45.764577,-67.761284
E-107,-45.76219199999999,-67.739557
E-108,-45.764587,-67.767193
E-110,-45.759763,-67.717448
E-112,-45.761506,-67.764962
E-113,-45.756147,-67.717862
E-114,-45.754387,-67.769542
E-115,-45.753995,-67.779725
E-116,-45.756167,-67.731944
E-118,-45.761696,-67.773319
E-121,-45.752931,-67.736327
E-122,-45.762486,-67.767809
E-123,-45.755104,-67.789455
E-124,-45.76472600000001,-67.774405
E-126,-45.762283,-67.780505
E-128,-45.760122,-67.741544
E-129,-45.754271,-67.738298
E-130,-45.75594199999999,-67.720619
E-131,-45.759648,-67.725119
E-132,-45.760848,-67.770314
E-134,-45.755826,-67.73706
E-136,-45.756045,-67.774709
E-137,-45.753177,-67.765807
E-138,-45.755763,-67.73933
E-140,-45.755481,-67.72547
E-142,-45.76048,-67.776612
E-143,-45.759716,-67.737824
E-144,-45.7566,-67.734371
E-145,-45.762609,-67.789989
E-147,-45.755279,-67.776365
E-150,-45.759034,-67.773627
E-151,-45.758133,-67.776773
E-152,-45.761243,-67.787839
E-153,-45.75438800000001,-67.7415
E-154,-45.75596,-67.785795
E-155,-45.760244,-67.733433
E-156,-45.75930300000001,-67.785967
E-157,-45.76003299999999,-67.789967
E-158,-45.75763800000001,-67.764599
E-159,-45.759884,-67.737312
E-160,-45.760755,-67.729482
E-161,-45.760968,-67.784284
E-163,-45.761025,-67.7404
E-166,-45.757339,-67.768169
E-167,-45.75863500000001,-67.782215
E-168,-45.76170100000001,-67.779038
E-170,-45.759237,-67.789049
E-171,-45.764578,-67.744444
E-172,-45.752677,-67.717872
E-173,-45.759454,-67.760902
E-174,-45.754529,-67.730324
E-175,-45.759404,-67.757817
E-176,-45.75650799999999,-67.757112
E-178,-45.758686,-67.77039
E-179,-45.75670100000001,-67.72852
E-180,-45.752523,-67.742924
E-181,-45.756746,-67.778832
E-182,-45.754123,-67.761673
E-183,-45.69685999999999,-67.736333
E-184,-45.758267,-67.75355
E-185,-45.760273,-67.732714
E-186,-45.757752,-67.784391
E-188,-45.755,-67.758333
E-189,-45.756623,-67.781777
E-190,-45.75749999999999,-67.787222
E-191,-45.757222,-74.823333
E-192,-45.75122799999999,-67.746041
E-193,-45.760278,-67.765278
E-194,-45.75833300000001,-67.748333
E-195,-45.751225,-67.746667
E-196,-45.758611,-67.745
E-198,-45.75833300000001,-67.743611
E-199,-45.762778,-67.785278
E-200,-45.759167,-67.756944
E-201,-45.757222,-67.7725
E-202,-45.755,-67.752222
E-202001,-45.755,-67.752222
E-88,-45.762392,-67.761616
E-89,-45.756724,-67.741281
E-92,-45.751038,-67.742041
E-97,-45.761132,-67.74886
E-98,-45.764072,-67.750267
E-99,-45.764828,-67.753297
EAS-2003,-45.71616700000001,-67.475316
EAS-2004,-45.71774899999999,-67.476856
F-104,-45.735203,-67.678743
F-11,-45.731316,-67.67272
F-118,-45.73617700000001,-67.67518
F-120,-45.7408,-67.705715
F-124,-45.740524,-67.710925
F-142,-45.738318,-67.675624
F-151,-45.727563,-67.692471
F-154,-45.740641,-67.713534
F-161,-45.74694,-67.705517
F-163,-45.72847400000001,-67.702061
F-164,-45.727194,-67.70961
F-166,-45.74718699999999,-67.708624
F-17,-45.726638,-67.678384
F-200,-45.741154,-67.670271
F-201,-45.72683099999999,-67.684151
F-203,-45.72944400000001,-67.681807
F-205,-45.73086099999999,-67.678812
F-206,-45.72642,-67.690169
F-210,-45.72838,-67.687771
F-212,-45.74105900000001,-67.676933
F-215,-45.74059200000001,-67.681042
